book,chapter,verse,text,cluster
Matthew,3,15,Suffer it to be so now: for thus it becometh us to fulfil all righteousness.,10
Matthew,4,4,"It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.",20
Matthew,4,7,"It is written again, Thou shalt not tempt the Lord thy God.",46
Matthew,4,10,"Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.",46
Matthew,4,17,Repent: for the kingdom of heaven is at hand.,22
Matthew,4,19,"Follow me, and I will make you fishers of men.",38
Matthew,5,3,Blessed are the poor in spirit: for theirs is the kingdom of heaven.,22
Matthew,5,4,Blessed are they that mourn: for they shall be comforted.,43
Matthew,5,5,Blessed are the meek: for they shall inherit the earth.,43
Matthew,5,6,Blessed are they which do hunger and thirst after righteousness: for they shall be filled.,43
Matthew,5,7,Blessed are the merciful: for they shall obtain mercy.,43
Matthew,5,8,Blessed are the pure in heart: for they shall see God.,43
Matthew,5,9,Blessed are the peacemakers: for they shall be called the children of God.,43
Matthew,5,10,Blessed are they which are persecuted for righteousness' sake: for theirs is the kingdom of heaven.,22
Matthew,5,11,"Blessed are ye, when men shall revile you, and persecute you, and shall say all manner of evil against you falsely, for my sake.",30
Matthew,5,12,"Rejoice, and be exceeding glad: for great is your reward in heaven: for so persecuted they the prophets which were before you.",10
Matthew,5,13,"Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted?",20
Matthew,5,13,"it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men.",10
Matthew,5,14,Ye are the light of the world.,33
Matthew,5,14,A city that is set on an hill cannot be hid.,10
Matthew,5,15,"Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house.",47
Matthew,5,16,"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.",39
Matthew,5,17,"Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil.",34
Matthew,5,18,"For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled.",24
Matthew,5,19,"Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teach them, the same shall be called great in the kingdom of heaven.",22
Matthew,5,20,"For I say unto you, That except your righteousness shall exceed the righteousness of the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven.",2
Matthew,5,21,"Ye have heard that it was said of them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:",46
Matthew,5,22,"But I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire.",2
Matthew,5,23,"Therefore if thou bring thy gift to the altar, and there rememberest that thy brother hath ought against thee;",47
Matthew,5,24,"Leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift.",47
Matthew,5,25,"Agree with thine adversary quickly, whiles thou art in the way with him; lest at any time the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison.",17
Matthew,5,26,"Verily I say unto thee, Thou shalt by no means come out thence, till thou hast paid the uttermost farthing.",17
Matthew,5,27,"Ye have heard that it was said by them of old time, Thou shalt not commit adultery:",46
Matthew,5,28,"But I say unto you, That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart.",2
Matthew,5,29,"And if thy right eye offend thee, pluck it out, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.",32
Matthew,5,30,"And if thy right hand offend thee, cut it off, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.",32
Matthew,5,31,"It hath been said, Whosoever shall put away his wife, let him give her a writing of divorcement:",13
Matthew,5,32,"But I say unto you, That whosoever shall put away his wife, saving for the cause of fornication, causeth her to commit adultery: and whosoever shall marry her that is divorced committeth adultery.",2
Matthew,5,33,"Again, ye have heard that it hath been said by them of old time, Thou shalt not forswear thyself, but shalt perform unto the Lord thine oaths:",46
