source,target
White Rabbit,Alice
White Rabbit,Mary Ann
White Rabbit,Pat
White Rabbit,Dinah
White Rabbit,Lizard Bill
White Rabbit,White Rabbit
White Rabbit,Queen of Hearts
White Rabbit,King of Hearts
Alice,Mabel
Alice,William the Conqueror
Alice,Mouse
Alice,Lory
Alice,Mary Ann
Alice,Dinah
Alice,Lizard Bill
Alice,Caterpillar
Alice,Pigeon
Alice,Fish-Footman
Alice,Duchess
Alice,March Hare
Alice,Dormouse
Alice,Mad Hatter
Alice,Kings
Alice,Cheshire Cat
Alice,Lobster Quadrille
Alice,Mock Turtle
Alice,King of Hearts
Alice,Queen of Hearts
Alice,Gryphon
Ada,Mabel
Mouse,Father William
Lory,Eaglet
Lory,Crab
Lory,Dinah
Father William,Edgar Atheling
Lizard Bill,Duchess
Lizard Bill,March Hare
Lizard Bill,King of Hearts
Lizard Bill,Queen of Hearts
Duchess,Cheshire Cat
March Hare,Mad Hatter
March Hare,Queen of Hearts
March Hare,King of Hearts
Dormouse,Mad Hatter
Dormouse,King of Hearts
Dormouse,Queen of Hearts
Dormouse,Elsie
Dormouse,Lacie
Dormouse,Tillie
Mad Hatter,Queen of Hearts
Mad Hatter,King of Hearts
Kings,Queens
Kings,King of Hearts
Kings,Queen of Hearts
Queens,King of Hearts
Queens,Queen of Hearts
Gryphon,Queen of Hearts
Gryphon,Mock Turtle
Queen of Hearts,Frog-Footman
Queen of Hearts,King of Hearts
Queen of Hearts,Knave of Hearts
Queen of Hearts,Card Gardener #1
Queen of Hearts,Card Gardener #2
Queen of Hearts,Card Gardener #3
Queen of Hearts,Mock Turtle
Frog-Footman,King of Hearts
Card Gardener #1,King of Hearts
Card Gardener #2,King of Hearts
Card Gardener #3,King of Hearts
King of Hearts,Mock Turtle
King of Hearts,Knave of Hearts
