source,target
Rabbit,Alice
Longitude,Alice
New Zealand,Ma'am
New Zealand,Australia
Fender,Alice
Rabbit,Alice
Ada,Mabel
Paris,Rome
Paris,London
Improve,Nile
Alice,Mabel
William the Conqueror,Alice
Mouse,Alice
Mouse,Alice
Lory,Eaglet
Lory,Alice
Northumbria,Edwin
Northumbria,Morcar
Morcar,Stigand
Morcar,Northumbria
Morcar,Mercia
Morcar,Canterbury
Mouse,âit
William,Mouse
William,Edgar Atheling
Mouse,Alice
Mouse,Alice
âI'll,Said
Mouse,Alice
Mouse,Alice
Crab,Lory
Dinah,Lory
the White Rabbit,Bill
the White Rabbit,The Rabbit Sends
Mary Ann,Rabbit
Mary Ann,Alice
Dinah,Alice
Rabbit,Alice
Rabbit,Alice
Rabbit,Alice
Pat,Rabbit
Bill,Alice
Dinah,Rabbit
Dinah,Alice
Rabbit,Alice
Caterpillar,Alice
Caterpillar,CHAPTER V.
Caterpillar,Alice
Caterpillar,Alice
William_,Caterpillar
Pigeon,Alice
Alice,Fish-Footman
Duchess,Cheshire
Alice,Duchess
Alice,Hare
Dormouse,Hatter
Dormouse,Alice
Alice,Hatter
Dormouse,Hatter
Alice,Hatter
Time,Hatter
Dormouse,Tillie
Dormouse,Elsie
Dormouse,Lacie
Alice,Hare
Dormouse,Alice
Dormouse,Alice
Dormouse,Hatter
Dormouse,Treacle
Dormouse,Alice
Hare,Alice
Hare,Hatter
Dormouse,Alice
Dormouse,Alice
Dormouse,Alice
Dormouse,Hatter
Alice,Hatter
Dormouse,Alice
Kings,Alice
Kings,Queens
Cat,Alice
Cheshire Cat,Alice
Cat,Duchess
Alice,Duchess
Somebody,Alice
Alice,Duchess
Alice,Duchess
Alice,Duchess
Mystery,Seaography
Alice,Lobster Quadrille
France,England
Alice,âKeep
William_,Caterpillar
Alice,garden_.
Hm,Alice
Soup,Beautiful
Soup,Beautiful
Soup,Gryphon
Soup,Alice
the White Rabbit,Alice
Dormouse,Hatter
Dormouse,Hatter
Hare,Hatter
Dormouse,Hatter
the White Rabbit,Alice
the White Rabbit,Alice
Lizard,Duchess
Lizard,Hare
