book,chapter,source,target
matthew,1,jesus,david
matthew,1,jesus,abraham
matthew,1,abraham,isaac
matthew,1,abraham,jacob
matthew,1,abraham,judas
matthew,1,judas,phares
matthew,1,judas,zara
matthew,1,judas,thamar
matthew,1,judas,esrom
matthew,1,judas,aram
matthew,1,aram,aminadab
matthew,1,aram,naasjesus
matthew,1,jesse,david
matthew,1,jesse,solomon
matthew,1,jesse,urias
matthew,1,solomon,roboam
matthew,1,solomon,abia
matthew,1,solomon,asa
matthew,1,asa,josaphat
matthew,1,asa,joram
matthew,1,asa,ozias
matthew,1,ozias,joatham
matthew,1,ozias,achaz
matthew,1,ozias,ezekias
matthew,1,ezekias,manasses
matthew,1,ezekias,amon
matthew,1,ezekias,josias
matthew,1,josias,jechonias
matthew,1,josias,babylon
matthew,1,babylon,jechonias
matthew,1,babylon,salathiel
matthew,1,babylon,zorobabel
matthew,1,zorobabel,abiud
matthew,1,zorobabel,eliakim
matthew,1,zorobabel,azor
matthew,1,azor,sadoc
matthew,1,azor,achim
matthew,1,azor,eliud
matthew,1,eliud,eleazar
matthew,1,eliud,matthan
matthew,1,eliud,jacob
matthew,1,jacob,joseph
matthew,1,jacob,mary
matthew,1,jacob,jesus
matthew,1,abraham,david
matthew,1,abraham,babylon
matthew,1,jesus,mary
matthew,1,jesus,joseph
matthew,1,god,joseph
matthew,1,god,david
matthew,1,god,mary
matthew,1,joseph,god
matthew,2,jesus,bethlehem
matthew,2,jesus,judaea
matthew,2,jesus,herod
matthew,2,jesus,jerusalem
matthew,2,herod,jerusalem
matthew,2,bethlehem,judaea
matthew,2,bethlehem,juda
matthew,2,bethlehem,governor
matthew,2,bethlehem,israel
matthew,2,god,herod
matthew,2,god,joseph
matthew,2,god,egypt
matthew,2,herod,god
matthew,2,herod,egypt
matthew,2,herod,bethlehem
matthew,2,rama,rachel
matthew,2,herod,joseph
matthew,2,archelaus,judaea
matthew,2,archelaus,herod
matthew,2,archelaus,god
matthew,2,archelaus,galilee
matthew,2,nazareth,nazarene
matthew,3,john,judaea
matthew,3,esaias,god
matthew,3,jerusalem,judaea
matthew,3,jerusalem,jordan
matthew,3,pharisees,sadducees
matthew,3,god,abraham
matthew,3,jesus,galilee
matthew,3,jesus,jordan
matthew,3,jesus,john
matthew,3,jesus,god
matthew,4,jesus,god
matthew,4,jesus,satan
matthew,4,jesus,john
matthew,4,jesus,galilee
matthew,4,nazareth,capernaum
matthew,4,nazareth,zabulon
matthew,4,nazareth,nephthalim
matthew,4,zabulon,nephthalim
matthew,4,zabulon,jordan
matthew,4,zabulon,galilee
matthew,4,zabulon,gentiles
matthew,4,jesus,simon
matthew,4,jesus,peter
matthew,4,jesus,andrew
