book,chapter,source,target
genesis,1,god,heaven
genesis,2,god,eden
genesis,2,pijesus,havilah
genesis,2,gihon,ethiopia
genesis,2,hiddekel,assyria
genesis,2,hiddekel,euphrates
genesis,2,god,adam
genesis,3,god,adam
genesis,3,adam,eve
genesis,3,god,eden
genesis,3,eden,angel
genesis,4,adam,eve
genesis,4,adam,cain
genesis,4,adam,god
genesis,4,abel,cain
genesis,4,cain,god
genesis,4,abel,god
genesis,4,god,cain
genesis,4,cain,abel
genesis,4,god,abel
genesis,4,cain,nod
genesis,4,cain,eden
genesis,4,cain,enoch
genesis,4,enoch,irad
genesis,4,enoch,mehujael
genesis,4,enoch,methusael
genesis,4,enoch,lamech
genesis,4,lamech,adah
genesis,4,lamech,zillah
genesis,4,adah,jabal
genesis,4,zillah,tubalcain
genesis,4,zillah,naamah
genesis,4,cain,lamech
genesis,4,adam,seth
genesis,4,adam,abel
genesis,4,seth,god
genesis,5,adam,god
genesis,5,adam,seth
genesis,5,seth,enos
genesis,5,enos,cainan
genesis,5,cainan,mahalaleel
genesis,5,mahalaleel,jared
genesis,5,jared,enoch
genesis,5,enoch,methuselah
genesis,5,enoch,god
genesis,5,methuselah,lamech
genesis,5,noah,god
genesis,5,lamech,noah
genesis,5,noah,shem
genesis,5,noah,ham
genesis,5,noah,japheth
genesis,6,noah,god
genesis,6,noah,shem
genesis,6,noah,ham
genesis,6,noah,japheth
genesis,6,god,noah
genesis,7,god,noah
genesis,7,noah,god
genesis,7,noah,shem
genesis,7,noah,ham
genesis,7,noah,japheth
genesis,8,god,noah
genesis,8,noah,god
genesis,9,god,noah
genesis,9,noah,shem
genesis,9,noah,ham
genesis,9,noah,japheth
genesis,9,noah,canaan
genesis,9,ham,canaan
genesis,9,shem,japheth
genesis,9,god,shem
genesis,9,god,canaan
genesis,9,god,japheth
genesis,10,noah,shem
genesis,10,noah,ham
genesis,10,noah,japheth
genesis,10,japheth,gomer
genesis,10,japheth,magog
genesis,10,japheth,madai
genesis,10,japheth,javan
genesis,10,japheth,tubal
genesis,10,japheth,meshech
genesis,10,japheth,tiras
genesis,10,gomer,ashkenaz
genesis,10,gomer,riphath
genesis,10,gomer,togarmah
genesis,10,javan,elishah
genesis,10,javan,tarshish
genesis,10,javan,kittim
genesis,10,javan,dodanim
genesis,10,ham,cush
genesis,10,ham,mizraim
genesis,10,ham,phut
genesis,10,ham,canaan
genesis,10,cush,seba
genesis,10,cush,havilah
genesis,10,cush,sabtah
genesis,10,cush,raamah
genesis,10,cush,sabtechah
genesis,10,cush,sheba
genesis,10,cush,dedan
genesis,10,god,nimrod
genesis,10,babel,erech
genesis,10,babel,accad
genesis,10,babel,calneh
genesis,10,babel,shinar
genesis,10,asshur,nineveh
genesis,10,asshur,rehoboth
genesis,10,asshur,calah
genesis,10,resen,nineveh
genesis,10,resen,calah
genesis,10,mizraim,ludim
genesis,10,mizraim,anamim
genesis,10,mizraim,lehabim
genesis,10,mizraim,naphtuhim
genesis,10,pathrusim,casluhim
genesis,10,pathrusim,philistim
genesis,10,pathrusim,caphtorim
genesis,10,canaan,sidon
genesis,10,canaan,heth
genesis,10,jebusite,amorite
genesis,10,jebusite,girgasite
genesis,10,hivite,arkite
genesis,10,hivite,sinite
genesis,10,arvadite,zemarite
genesis,10,arvadite,hamathite
genesis,10,arvadite,canaanites
genesis,10,canaanites,sidon
genesis,10,canaanites,gerar
genesis,10,canaanites,gaza
genesis,10,canaanites,sodom
genesis,10,canaanites,gomorrah
genesis,10,canaanites,admah
genesis,10,canaanites,zeboim
genesis,10,canaanites,lasha
genesis,10,shem,eber
genesis,10,shem,japheth
genesis,10,shem,elam
genesis,10,shem,asshur
genesis,10,shem,arphaxad
genesis,10,shem,lud
genesis,10,shem,aram
genesis,10,aram,uz
genesis,10,aram,hul
genesis,10,aram,gether
genesis,10,aram,mash
genesis,10,arphaxad,salah
genesis,10,arphaxad,eber
genesis,10,eber,peleg
genesis,10,eber,joktan
genesis,10,joktan,almodad
genesis,10,joktan,sheleph
genesis,10,joktan,hazarmaveth
genesis,10,joktan,jerah
genesis,10,hadoram,uzal
genesis,10,hadoram,diklah
genesis,10,obal,abimael
genesis,10,obal,sheba
genesis,10,ophir,havilah
genesis,10,ophir,jobab
genesis,10,ophir,joktan
genesis,10,mesha,sephar
genesis,11,babel,god
genesis,11,shem,arphaxad
genesis,11,arphaxad,salah
genesis,11,salah,eber
genesis,11,eber,peleg
genesis,11,peleg,reu
genesis,11,reu,serug
genesis,11,serug,nahor
genesis,11,nahor,terah
genesis,11,terah,abram
genesis,11,terah,nahor
genesis,11,terah,haran
genesis,11,terah,lot
genesis,11,haran,terah
genesis,11,haran,ur
genesis,11,haran,chaldees
genesis,11,abram,nahor
genesis,11,abram,sarai
genesis,11,abram,milcah
genesis,11,abram,haran
genesis,11,abram,iscah
genesis,11,terah,sarai
genesis,11,terah,ur
genesis,11,terah,chaldees
genesis,11,terah,canaan
genesis,12,god,abram
genesis,12,abram,god
genesis,12,abram,lot
genesis,12,abram,haran
genesis,12,abram,sarai
genesis,12,abram,canaan
genesis,12,abram,sichem
genesis,12,abram,moreh
genesis,12,abram,canaanite
genesis,12,bethel,hai
genesis,12,bethel,god
genesis,12,abram,egypt
genesis,12,egypt,sarai
genesis,12,god,pharaoh
genesis,12,god,sarai
genesis,12,pharaoh,abram
genesis,13,abram,egypt
genesis,13,abram,lot
genesis,13,bethel,hai
genesis,13,abram,god
genesis,13,lot,abram
genesis,13,abram,canaanite
genesis,13,abram,perizzite
genesis,13,lot,jordan
genesis,13,lot,god
genesis,13,lot,sodom
genesis,13,lot,gomorrah
genesis,13,lot,egypt
genesis,13,lot,zoar
genesis,13,abram,canaan
genesis,13,abram,sodom
genesis,13,sodom,god
genesis,13,god,abram
genesis,13,god,lot
genesis,13,abram,mamre
genesis,13,abram,hebron
genesis,14,amraphel,shinar
genesis,14,amraphel,arioch
genesis,14,amraphel,ellasar
genesis,14,amraphel,chedorlaomer
genesis,14,amraphel,elam
genesis,14,amraphel,tidal
genesis,14,bera,sodom
genesis,14,bera,birsha
genesis,14,bera,gomorrah
genesis,14,bera,shinab
genesis,14,bera,admah
genesis,14,bera,shemeber
genesis,14,bera,zeboiim
genesis,14,bera,bela
genesis,14,bera,zoar
genesis,14,chedorlaomer,rephaim
genesis,14,chedorlaomer,ashteroth
genesis,14,chedorlaomer,karnaim
genesis,14,chedorlaomer,zuzims
genesis,14,chedorlaomer,ham
genesis,14,chedorlaomer,emins
genesis,14,chedorlaomer,shaveh
genesis,14,chedorlaomer,kiriathaim
genesis,14,seir,elparan
genesis,14,enmishpat,kadesh
genesis,14,enmishpat,amalekites
genesis,14,enmishpat,amorites
genesis,14,enmishpat,hazezontamar
genesis,14,sodom,gomorrah
genesis,14,sodom,admah
genesis,14,sodom,zeboiim
genesis,14,sodom,bela
genesis,14,sodom,zoar
genesis,14,sodom,siddim
genesis,14,chedorlaomer,elam
genesis,14,chedorlaomer,tidal
genesis,14,chedorlaomer,amraphel
genesis,14,chedorlaomer,shinar
genesis,14,chedorlaomer,arioch
genesis,14,chedorlaomer,ellasar
genesis,14,siddim,sodom
genesis,14,siddim,gomorrah
genesis,14,lot,abram
genesis,14,lot,sodom
genesis,14,abram,hebrew
genesis,14,abram,mamre
genesis,14,abram,amorite
genesis,14,abram,eshcol
genesis,14,abram,aner
genesis,14,abram,dan
genesis,14,hobah,damascus
genesis,14,sodom,chedorlaomer
genesis,14,sodom,shaveh
genesis,14,melchizedek,salem
genesis,14,melchizedek,god
genesis,14,abram,god
genesis,14,sodom,abram
genesis,14,abram,sodom
genesis,15,god,abram
genesis,15,abram,god
genesis,15,abram,eliezer
genesis,15,abram,damascus
genesis,15,god,ur
genesis,15,god,chaldees
genesis,15,god,egypt
genesis,15,kenites,kenizzites
genesis,15,kenites,kadmonites
genesis,15,hittites,perizzites
genesis,15,hittites,rephaim
genesis,15,amorites,canaanites
genesis,15,amorites,girgashites
genesis,15,amorites,jebusites
genesis,16,sarai,abram
genesis,16,sarai,hagar
genesis,16,sarai,god
genesis,16,sarai,egyptian
genesis,16,sarai,canaan
genesis,16,abram,sarai
genesis,16,god,shur
genesis,16,hagar,sarai
genesis,16,god,ishmael
genesis,16,beerlahairoi,kadesh
genesis,16,beerlahairoi,bered
genesis,16,hagar,abram
genesis,16,hagar,ishmael
genesis,16,abram,hagar
genesis,16,abram,ishmael
genesis,17,abram,god
genesis,17,abram,abraham
genesis,17,canaan,god
genesis,17,god,abraham
genesis,17,god,sarai
genesis,17,god,sarah
genesis,17,abraham,sarah
genesis,17,abraham,god
genesis,17,abraham,ishmael
genesis,17,god,isaac
genesis,17,isaac,sarah
genesis,18,god,mamre
genesis,18,abraham,sarah
genesis,18,god,abraham
genesis,18,god,sarah
genesis,18,sodom,abraham
genesis,18,god,sodom
genesis,18,god,gomorrah
genesis,18,sodom,god
genesis,18,abraham,god
genesis,19,sodom,lot
genesis,19,lot,god
genesis,19,lot,zoar
genesis,19,god,sodom
genesis,19,god,gomorrah
genesis,19,sodom,gomorrah
genesis,19,god,abraham
genesis,19,god,lot
genesis,19,moab,moabites
genesis,19,benammi,ammon
genesis,20,abraham,kadesh
genesis,20,abraham,shur
genesis,20,abraham,gerar
genesis,20,abraham,sarah
genesis,20,abraham,abimelech
genesis,20,god,abimelech
genesis,20,abimelech,god
genesis,20,abimelech,abraham
genesis,20,abraham,god
genesis,20,abimelech,sarah
genesis,20,god,sarah
genesis,20,god,abraham
genesis,21,god,sarah
genesis,21,sarah,abraham
genesis,21,sarah,god
genesis,21,abraham,sarah
genesis,21,abraham,isaac
genesis,21,abraham,god
genesis,21,sarah,hagar
genesis,21,sarah,egyptian
genesis,21,god,abraham
genesis,21,god,isaac
genesis,21,abraham,hagar
genesis,21,abraham,beersheba
genesis,21,god,hagar
genesis,21,paran,egypt
genesis,21,abimelech,phichol
genesis,21,abimelech,abraham
genesis,21,abimelech,god
genesis,21,abraham,abimelech
genesis,21,beersheba,abimelech
genesis,21,beersheba,phichol
genesis,21,beersheba,philistines
genesis,21,abraham,philistines
genesis,22,god,abraham
genesis,22,abraham,isaac
genesis,22,abraham,god
genesis,22,isaac,abraham
genesis,22,god,isaac
genesis,22,abraham,jehovahjireh
genesis,22,abraham,beersheba
genesis,22,abraham,milcah
genesis,22,abraham,nahor
genesis,22,huz,buz
genesis,22,huz,kemuel
genesis,22,huz,aram
genesis,22,hazo,pildash
genesis,22,hazo,jidlaph
genesis,22,hazo,bethuel
genesis,22,bethuel,rebekah
genesis,22,bethuel,nahor
genesis,22,bethuel,abraham
genesis,22,reumah,tebah
genesis,22,reumah,gaham
genesis,22,reumah,thahash
genesis,22,reumah,maachah
genesis,23,sarah,kirjatharba
genesis,23,sarah,hebron
genesis,23,sarah,canaan
genesis,23,sarah,abraham
genesis,23,abraham,heth
genesis,23,heth,abraham
genesis,23,ephron,zohar
genesis,23,ephron,heth
genesis,23,ephron,hittite
genesis,23,ephron,abraham
genesis,23,abraham,ephron
genesis,23,ephron,machpelah
genesis,23,ephron,mamre
genesis,23,abraham,sarah
genesis,23,abraham,machpelah
genesis,23,abraham,mamre
genesis,23,abraham,hebron
genesis,23,abraham,canaan
genesis,24,abraham,god
genesis,24,god,canaanites
genesis,24,mesopotamia,nahor
genesis,24,rebekah,bethuel
genesis,24,rebekah,milcah
genesis,24,rebekah,nahor
genesis,24,rebekah,abraham
genesis,24,bethuel,milcah
genesis,24,bethuel,nahor
genesis,24,god,abraham
genesis,24,rebekah,laban
genesis,24,laban,bethuel
genesis,24,laban,god
genesis,24,isaac,lahairoi
genesis,24,rebekah,isaac
genesis,24,isaac,sarah
genesis,24,isaac,rebekah
genesis,25,abraham,keturah
genesis,25,zimran,jokshan
genesis,25,zimran,medan
genesis,25,zimran,midian
genesis,25,zimran,ishbak
genesis,25,zimran,shuah
genesis,25,jokshan,sheba
genesis,25,jokshan,dedan
genesis,25,jokshan,asshurim
genesis,25,jokshan,letushim
