source,target
@wannaoneofficial,@wannaone_twt
@hyoyeon_djhyo,@rvsmtown
@applemusic,@blackpink
@spotify,@blackpink
@blackpink,@blackpink
@tiktok_stage,@blackpink
@selenagomez,@blackpink
@recordingacad,@blackpink
@jimmykimmellive,@blackpink
@gma,@blackpink
@applemusic,@jypnation
@got7official,@jypnation
@ygselect,@blackpink
@blackpinkofficial,@blackpink
@pubgmobile,@blackpink
@estpresents,@bvndit_official
@colbertlateshow,@jypetwice
@jypetwice,@thinktwicekpop
@mnetmama,@thinktwicekpop
@got7official,@got7official
@bccard_official,@blackpink
@youtubemusic,@got7official
@target,@jypetwice
@rmusic_official,@niziu__official
@amazonmusicjp,@niziu__official
@amazonmusic,@niziu__official
@khunnie0624,@got7official
@yubinofficial,@got7official
@tbscdtv,@niziu__official
@playstation,@jypetwice
@twitter,@got7official
@twitterkorea,@got7official
@ukinkorea,@blackpink
@cop26,@blackpink
@buzzrhythm_ntv,@niziu__official
@shopeeid,@got7official
@metrouk,@got7official
@spotify,@jypetwice
@applemusic,@ygofficialblink
@zepeto_official,@jypetwice
@zepeto_jp,@jypetwice
@spotify,@stray_kids
@spotifyjp,@niziu__official
@elle_korea,@stray_kids
@spotifyasia,@stray_kids
@itzyofficial,@jypnation
@kr_now,@jypnation
@bambam1a,@got7official
@nhk_kouhaku,@niziu__official
@nyre,@bts_bighit
@official_yoon_,@yginnercircle
@official_mino_,@yginnercircle
@radiodotcom,@blackpink
@latelateshow,@pledis_17
@spotify,@bts_bighit
@kellyclarksontv,@pledis_17
@zepeto_official,@jypnation
@kellyclarkson,@pledis_17
@latelateshow,@blackpink
@latelateshow,@ygselect
@picsartstudio,@blackpink
@picsartstudio,@ygselect
@time,@jypetwice
@ygselect,@ygofficialblink
@itzyofficial,@itzyofficial
@mtv,@itzyofficial
@mtvfreshout,@itzyofficial
@spotifykr,@stray_kids
@spotifykr,@blackpink
@samsmith,@spotifykr
@blackpink,@spotifykr
@bts_bighit,@spotifykr
@bts_twt,@spotifykr
@arenahommeplus,@stray_kids
@jypetwice,@spotifykr
@nctsmtown,@spotifykr
@halsey,@spotifykr
@ericnamofficial,@spotifykr
@camila_cabello,@spotifykr
@spotifykr,@jypetwice
@spotifykr,@itzyofficial
@kr_now,@itzyofficial
@charlieputh,@spotifykr
@treasuremembers,@spotifykr
@stray_kids,@spotifykr
@lauvsongs,@spotifykr
@code_kunst,@spotifykr
@steveaoki,@spotifykr
@leehi_hi,@spotifykr
@justinbieber,@spotifykr
@zanelowe,@bts_bighit
@applemusic,@bts_bighit
@annemarie,@spotifykr
@satgotloco,@spotifykr
@chungha_mnhent,@spotifykr
@jaybumaom,@spotifykr
@txt_bighit,@spotifykr
@txt_members,@spotifykr
@sjofficial,@spotifykr
