book,chapter,verse,text
John,1,38,"Then Jesus turned, and saw them following, and saith unto them, What seek ye? They said unto him, Rabbi, (which is to say, being interpreted, Master,) where dwellest thou?"
John,1,39,"He saith unto them, Come and see. They came and saw where he dwelt, and abode with him that day: for it was about the tenth hour."
John,1,42,"And he brought him to Jesus. And when Jesus beheld him, he said, Thou art Simon the son of Jona: thou shalt be called Cephas, which is by interpretation, A stone."
John,1,43,"The day following Jesus would go forth into Galilee, and findeth Philip, and saith unto him, Follow me."
John,1,47,"Jesus saw Nathanael coming to him, and saith of him, Behold an Israelite indeed, in whom is no guile!"
John,1,48,"Nathanael saith unto him, Whence knowest thou me? Jesus answered and said unto him, Before that Philip called thee, when thou wast under the fig tree, I saw thee."
John,1,50,"Jesus answered and said unto him, Because I said unto thee, I saw thee under the fig tree, believest thou? thou shalt see greater things than these."
John,1,51,"And he saith unto him, Verily, verily, I say unto you, Hereafter ye shall see heaven open, and the angels of God ascending and descending upon the Son of man."
John,2,4,"Jesus saith unto her, Woman, what have I to do with thee? mine hour is not yet come."
John,2,7,"Jesus saith unto them, Fill the waterpots with water. And they filled them up to the brim."
John,2,8,"And he saith unto them, Draw out now, and bear unto the governor of the feast. And they bare it."
John,2,16,"And said unto them that sold doves, Take these things hence; make not my Father's house an house of merchandise."
John,2,19,"Jesus answered and said unto them, Destroy this temple, and in three days I will raise it up."
John,3,3,"Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God."
John,3,5,"Jesus answered, Verily, verily, I say unto thee, Except a man be born of water and of the Spirit, he cannot enter into the kingdom of God."
John,3,6,That which is born of the flesh is flesh; and that which is born of the Spirit is spirit.
John,3,7,"Marvel not that I said unto thee, Ye must be born again."
John,3,8,"The wind bloweth where it listeth, and thou hearest the sound thereof, but canst not tell whence it cometh, and whither it goeth: so is every one that is born of the Spirit."
John,3,10,"Jesus answered and said unto him, Art thou a master of Israel, and knowest not these things?"
John,3,11,"Verily, verily, I say unto thee, We speak that we do know, and testify that we have seen; and ye receive not our witness."
John,3,12,"If I have told you earthly things, and ye believe not, how shall ye believe, if I tell you of heavenly things?"
John,3,13,"And no man hath ascended up to heaven, but he that came down from heaven, even the Son of man which is in heaven."
John,3,14,"And as Moses lifted up the serpent in the wilderness, even so must the Son of man be lifted up:"
John,3,15,"That whosoever believeth in him should not perish, but have eternal life."
John,3,16,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."
John,3,17,For God sent not his Son into the world to condemn the world; but that the world through him might be saved.
John,3,18,"He that believeth on him is not condemned: but he that believeth not is condemned already, because he hath not believed in the name of the only begotten Son of God."
John,3,19,"And this is the condemnation, that light is come into the world, and men loved darkness rather than light, because their deeds were evil."
John,3,20,"For every one that doeth evil hateth the light, neither cometh to the light, lest his deeds should be reproved."
John,3,21,"But he that doeth truth cometh to the light, that his deeds may be made manifest, that they are wrought in God."
John,4,7,"There cometh a woman of Samaria to draw water: Jesus saith unto her, Give me to drink."
John,4,10,"Jesus answered and said unto her, If thou knewest the gift of God, and who it is that saith to thee, Give me to drink; thou wouldest have asked of him, and he would have given thee living water."
John,4,13,"Jesus answered and said unto her, Whosoever drinketh of this water shall thirst again:"
John,4,14,But whosoever drinketh of the water that I shall give him shall never thirst; but the water that I shall give him shall be in him a well of water springing up into everlasting life.
John,4,16,"Jesus saith unto her, Go, call thy husband, and come hither."
John,4,17,"The woman answered and said, I have no husband. Jesus said unto her, Thou hast well said, I have no husband:"
John,4,18,For thou hast had five husbands; and he whom thou now hast is not thy husband: in that saidst thou truly.
John,4,21,"Jesus saith unto her, Woman, believe me, the hour cometh, when ye shall neither in this mountain, nor yet at Jerusalem, worship the Father."
John,4,22,Ye worship ye know not what: we know what we worship: for salvation is of the Jews.
John,4,23,"But the hour cometh, and now is, when the true worshippers shall worship the Father in spirit and in truth: for the Father seeketh such to worship him."
John,4,24,God is a Spirit: and they that worship him must worship him in spirit and in truth.
John,4,26,"Jesus saith unto her, I that speak unto thee am he."
John,4,32,"But he said unto them, I have meat to eat that ye know not of."
John,4,34,"Jesus saith unto them, My meat is to do the will of him that sent me, and to finish his work."
John,4,35,"Say not ye, There are yet four months, and then cometh harvest? behold, I say unto you, Lift up your eyes, and look on the fields; for they are white already to harvest."
John,4,36,"And he that reapeth receiveth wages, and gathereth fruit unto life eternal: that both he that soweth and he that reapeth may rejoice together."
John,4,37,"And herein is that saying true, One soweth, and another reapeth."
John,4,38,"I sent you to reap that whereon ye bestowed no labour: other men laboured, and ye are entered into their labours."
John,4,48,"Then said Jesus unto him, Except ye see signs and wonders, ye will not believe."
John,4,50,"Jesus saith unto him, Go thy way; thy son liveth. And the man believed the word that Jesus had spoken unto him, and he went his way."
John,4,53,"So the father knew that it was at the same hour, in the which Jesus said unto him, Thy son liveth: and himself believed, and his whole house."
John,5,6,"When Jesus saw him lie, and knew that he had been now a long time in that case, he saith unto him, Wilt thou be made whole?"
