book,chapter,verse,text
Mark,1,15,"The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel."
Mark,1,17,"Come ye after me, and I will make you to become fishers of men."
Mark,1,25,"Hold thy peace, and come out of him."
Mark,1,38,"Let us go into the next towns, that I may preach there also: for therefore came I forth."
Mark,1,41,"I will; be thou clean."
Mark,1,44,"See thou say nothing to any man: but go thy way, shew thyself to the priest, and offer for thy cleansing those things which Moses commanded, for a testimony unto them."
Mark,2,5,"Son, thy sins be forgiven thee."
Mark,2,8,"Why reason ye these things in your hearts?"
Mark,2,9,"Whether is it easier to say to the sick of the palsy, Thy sins be forgiven thee; or to say, Arise, and take up thy bed, and walk?"
Mark,2,10,"But that ye may know that the Son of man hath power on earth to forgive sins"
Mark,2,11,"I say unto thee, Arise, and take up thy bed, and go thy way into thine house."
Mark,2,14,"Follow me."
Mark,2,17,"They that are whole have no need of the physician, but they that are sick: I came not to call the righteous, but sinners to repentance."
Mark,2,19,"Can the children of the bridechamber fast, while the bridegroom is with them? as long as they have the bridegroom with them, they cannot fast."
Mark,2,20,"But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days."
Mark,2,21,"No man also seweth a piece of new cloth on an old garment: else the new piece that filled it up taketh away from the old, and the rent is made worse."
Mark,2,22,"And no man putteth new wine into old bottles: else the new wine doth burst the bottles, and the wine is spilled, and the bottles will be marred: but new wine must be put into new bottles."
Mark,2,25,"Have ye never read what David did, when he had need, and was an hungred, he, and they that were with him?"
Mark,2,26,"How he went into the house of God in the days of Abiathar the high priest, and did eat the shewbread, which is not lawful to eat but for the priests, and gave also to them which were with him?"
Mark,2,27,"The sabbath was made for man, and not man for the sabbath:"
Mark,2,28,Therefore the Son of man is Lord also of the sabbath.
Mark,3,3,"Stand forth."
Mark,3,4,"Is it lawful to do good on the sabbath days, or to do evil? to save life, or to kill?"
Mark,3,5,"Stretch forth thine hand."
Mark,3,23,"How can Satan cast out Satan?"
Mark,3,24,"And if a kingdom be divided against itself, that kingdom cannot stand."
Mark,3,25,"And if a house be divided against itself, that house cannot stand."
Mark,3,26,"And if Satan rise up against himself, and be divided, he cannot stand, but hath an end."
Mark,3,27,"No man can enter into a strong man's house, and spoil his goods, except he will first bind the strong man; and then he will spoil his house."
Mark,3,28,"Verily I say unto you, All sins shall be forgiven unto the sons of men, and blasphemies wherewith soever they shall blaspheme:"
Mark,3,29,"But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation."
Mark,3,33,"Who is my mother, or my brethren?"
Mark,3,34,"Behold my mother and my brethren!"
Mark,3,35,"For whosoever shall do the will of God, the same is my brother, and my sister, and mother."
Mark,4,3,"Hearken; Behold, there went out a sower to sow:"
